페이지,URL,No.,위반 표현 (원문),위반 유형,관련 법령,위반 사유,수정 제안
ESWT 충격파치료,obliv.kr/rehab/eswt,5,"시술 후 바로 일상생활이 가능하며 별도의 회복 기간이 거의 없어 반복 치료를 받으실 수 있습니다",치료 효과 단정,의료법 제56조 제2항 제2호,시술 직후 즉시 일상 복귀를 단정적으로 보장,「대부분의 경우 일상생활에 큰 지장이 없으나 개인별 차이가 있을 수 있습니다」로 변경
ESWT 충격파치료,obliv.kr/rehab/eswt,6,"일정 기간 반복 유지치료 시 재발률 감소 (치료 주기 가이드 항목)",치료 효과 단정,의료법 제56조 제2항 제2호,재발률 감소를 임상적 근거 없이 단정,「재발 예방에 도움이 될 수 있습니다」+ 관련 근거 인용
산후 도수치료,obliv.kr/rehab/postpartum-therapy,1,"평생 건강을 결정하는 산후 6개월의 골든타임",과장 광고·공포심 자극,의료법 제56조 제2항 제2호,「평생 건강을 결정」한다는 과장 표현으로 환자 불안감 조성,「산후 6개월은 신체 회복에 중요한 시기입니다」로 순화
산후 도수치료,obliv.kr/rehab/postpartum-therapy,2,"골든타임 내 치료는 산후풍과 만성 통증을 예방하는 가장 확실한 방법입니다",최상급 표현·효과 보장,의료법 제56조 제2항 제2호,「가장 확실한 방법」이라는 최상급 표현으로 예방 효과를 보장,「도움이 될 수 있는 방법 중 하나입니다」로 변경
산후 도수치료,obliv.kr/rehab/postpartum-therapy,3,"골든타임을 놓쳐 인대가 다시 단단해지면 불균형한 정렬이 그대로 고착될 수 있습니다",공포심 자극,의료광고 심의기준 (과장·공포 유발),치료하지 않으면 문제가 고착된다며 공포심 조장,「치료 시기가 이를수록 회복에 유리할 수 있습니다」수준으로 순화
산후 도수치료,obliv.kr/rehab/postpartum-therapy,4,"오직 회복에만 전념할 수 있는 최적의 환경을 선사합니다",최상급 표현,의료광고 심의기준 (최상급 표현 금지),「최적의 환경」이라는 최상급 표현,「회복에 집중할 수 있는 독립적인 치료 환경을 갖추고 있습니다」로 변경
발톱무좀,obliv.kr/foot?category=infection,1,"레이저 광선이 병변 깊숙이 도달해 약물이 닿기 어려운 부위까지 무좀균을 제거하고 정상 세포의 재생을 촉진합니다",치료 효과 단정,의료법 제56조 제2항 제2호,균 제거 및 세포 재생 효과를 단정적으로 표현,「~에 도달해 무좀균 억제 및 세포 재생 촉진을 기대할 수 있습니다」로 변경
발톱무좀,obliv.kr/foot?category=infection,2,"통증과 부작용 거의 없어 시술 직후 일상생활 가능",부작용 정보 축소·효과 단정,의료법 제56조 제2항 제2호,부작용이 「거의 없다」는 표현으로 부작용 정보 축소·시술 직후 일상생활 가능을 단정,「개인에 따라 경미한 불편감이 있을 수 있으나 대부분 일상생활 가능합니다」로 변경
발톱무좀,obliv.kr/foot?category=infection,3,"고혈압·당뇨 등 기저질환자도 동시 치료 가능",특수 대상 치료 가능 단정,의료법 제56조 제2항 제2호,기저질환자에 대한 치료 안전성을 조건 없이 단정,「의료진 판단에 따라 가능할 수 있으며 사전 진료를 권장드립니다」로 변경
발톱무좀,obliv.kr/foot?category=infection,4,"임신부·수유부도 치료 가능",특수 대상 치료 가능 단정,의료법 제56조 제2항 제2호,임신부·수유부에 대한 안전성을 무조건적으로 단정,「의료진 진단 후 개인 상태에 따라 가능할 수 있습니다」로 변경
발톱무좀,obliv.kr/foot?category=infection,5,"곰팡이균만 선택적으로 사멸시키는 치료입니다",치료 효과 단정,의료법 제56조 제2항 제2호,선택적 사멸이라는 효과를 단정적으로 표현,「곰팡이균을 선택적으로 타겟팅하는 방식으로 작용합니다」(기기 원리 설명 수준으로 유지)
발톱무좀,obliv.kr/foot?category=infection,6,"방치 시 감염 부위가 빠르게 확산되고 치료 기간이 길어질 수 있습니다",공포심 자극,의료광고 심의기준 (과장·공포 유발),방치 시 빠른 확산을 강조하여 치료를 강요하는 불안감 유발,「조기에 진료를 받으시면 치료가 수월할 수 있습니다」로 순화
내성발톱,obliv.kr/foot?category=ingrown,1,"걸을 때마다 찌르고 부어오르고 진물이 나는 상태라면 이미 치료가 늦은 단계일 수 있습니다",공포심 자극,의료광고 심의기준 (과장·공포 유발),「이미 치료가 늦은 단계」라는 표현으로 환자 공포심 자극,「진료가 필요한 상태일 수 있습니다」로 순화
내성발톱,obliv.kr/foot?category=ingrown,2,"방치할 경우 염증 확산 및 세균 감염으로 발전해 치료가 보다 복잡해질 수 있습니다",공포심 자극,의료광고 심의기준 (과장·공포 유발),방치 시 세균 감염으로 발전한다고 강조하여 불안감 유발,「증상이 지속되면 전문의 진료를 받으시는 것을 권장드립니다」로 순화
내성발톱,obliv.kr/foot?category=ingrown,3,"국내 다수 정형외과에서 사용중인 검증 의료기기",근거 없는 우수성 주장,의료광고 심의기준 (허위·과장),「검증」이라는 표현과 「국내 다수 정형외과」사용 주장의 구체적 근거 미제시,「식약처 인증 의료기기」로 대체하거나 구체적 근거 자료 인용 필요
내성발톱,obliv.kr/foot?category=ingrown,4,"곡률이 100도 이하라면 통증이 없어도 의학적 치료가 필요한 상태입니다",치료 필요성 단정,의료법 제56조 제2항 제2호,증상 없는 경우에도 치료가 반드시 필요하다고 단정하여 불필요한 의료 이용 유도 가능,「의료진 진단 후 치료 여부를 결정하시기 바랍니다」로 변경
